프로그램명,참가유형,조회수,모집대상,학년/성별,학과,마일리지,담당부서,카테고리,이메일주소,연락처,위치,기간,신청인원,최대인원,진행 상태,부제목,지역형 리더역량,창의적 사고역량,실용적 융복합역량,의사소통역량,글로벌역량,후기,사이트주소,마감여부
제28회 창원대문학상 공모,개인,"2,295",재학생,전체 학년/전체 성별,전체 학과,m5 점,대학언론사 대학언론사,비교과인증>대회형								  창원대문학상 공모,sms@changwon.ac.kr,055-213-2543,대학언론사,2023.09.01(Fri) 09:00 ~ 2023.12.30(Sat) 23:00,65,200,신청/운영중,"m5 점
					제28회 창원대문학상 공모",0.0,2.5,1.5,1.0,0.0,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10755,임박
2023  비교과가이드북 퀴즈 이벤트,개인,"2,683",재학생/교수/대학원생/외부인/교직원,전체 학년/전체 성별,전체 학과,m0 점,교육혁신본부 교육혁신원,비인증								  조사 및 홍보활동,wlduds82@changwon.ac.kr,055-213-2668,이뤄드림시스템,2023.09.01(Fri) 00:00 ~ 2023.12.08(Fri) 23:45,396,운영자승인,신청/운영중,"m0 점
					2023  비교과가이드북 퀴즈 이벤트",0.0,0.0,0.0,0.0,0.0,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10763,임박
iUSG 참여기업 탐방단 운영,개인,62,전체 학생/대학원생,전체 학년/전체 성별,전체 학과,m20 점,기획처 울산·경남지역혁신플랫폼 스마트제조엔지니어링사업단,비인증								  탐방형 프로그램,eunjin3@changwon.ac.kr,055-320-3195,참여기업,2023.12.15(Fri) 00:00 ~ 2024.02.15(Thu) 23:45,2,운영자승인,접수중														(2023.12.01(Fri) 23:45),"m20 점
					iUSG 참여기업 탐방단 운영",4.0,4.0,4.0,8.0,0.0,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10853,D-1
2023년 국립대학육성사업 「스트레스 해소 레시피」,개인,65,재학생,전체 학년/전체 성별,전체 학과,m6 점,학생상담센터,비교과인증>상담형								  집단상담,shnn9265@changwon.ac.kr,055-213-2646,동백관 학생상담센터(209호),2023.12.04(Mon) 18:00 ~ 2023.12.05(Tue) 21:00,2,운영자승인,접수중														(2023.12.04(Mon) 16:00),"m6 점
					2023년 국립대학육성사업 「스트레스 해소 레시피」",3.6,0.6,0.0,1.8,0.0,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10857,D-4
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,502,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.08(Fri) 10:00 ~ 2023.12.08(Fri) 12:50,2,20,접수중														(2023.12.06(Wed) 18:00),"m3 점
					토익 특강(대면)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,502,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.09(Sat) 10:00 ~ 2023.12.09(Sat) 12:50,4,20,접수중														(2023.12.06(Wed) 18:00),"m3 점
					오픽 특강(ZOOM)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,502,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.09(Sat) 10:00 ~ 2023.12.09(Sat) 12:50,1,20,접수중														(2023.12.06(Wed) 18:00),"m3 점
					토익스피킹 특강(ZOOM)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,502,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.09(Sat) 13:00 ~ 2023.12.09(Sat) 15:50,13,40,접수중														(2023.12.06(Wed) 18:00),"m3 점
					토익 특강(ZOOM)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,503,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.08(Fri) 10:00 ~ 2023.12.08(Fri) 12:50,2,20,접수중														(2023.12.06(Wed) 18:00),"m3 점
					토익 특강(대면)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
2023년 12월 정기시험대비 토익/오픽/토스 특강,주제별 상이,503,재학생/대학원생,전체 학년/전체 성별,전체 학과,m3 점,국제교류교육원,비교과인증>교육형								  영어정기시험대비특강,mkchoi@changwon.ac.kr,055-213-2442,(대면) 98호관 4층 (ZOOM) 접속정보 문자 발송,2023.12.09(Sat) 10:00 ~ 2023.12.09(Sat) 12:50,4,20,접수중														(2023.12.06(Wed) 18:00),"m3 점
					오픽 특강(ZOOM)",0.0,0.0,0.0,3.6,8.4,"프로그램 후기


번호
프로그램명
프로그램 운영기간
주역량
작성자
작성일

등록된 후기가 없습니다.",https://edream.changwon.ac.kr/ko/program/all/view/10834,D-6
