,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
프로그램명,제28회 창원대문학상 공모,2023  비교과가이드북 퀴즈 이벤트,iUSG 참여기업 탐방단 운영,2023년 국립대학육성사업 「스트레스 해소 레시피」,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,2023년 12월 정기시험대비 토익/오픽/토스 특강,[플랫폼사업단] 취업성공 실전대비 모의면접 및 컨설팅,제5회 경남인권포럼,학생 마음건강지원을 위한 맞춤형 프로그램-자기효능감 레벨업 프로젝트,학습컨설팅 DO learn DO learn (두런두런) 8차,2023 스마트 물류 전문가 양성 교육,랜선으로 만나는 릴레이 글로벌 취·창업 톡톡톡(talk,2023-동계 전문영어(이공계) 향상 프로그램,2023-2 학습능력확산 학습 포트폴리오 공모전,올인원 자기소개서 매트릭스 교육,2023학년도 교육효과성 제고를 위한 진단조사,온라인 기초 학습법 특강 3차,온라인 기초 학습법 특강 2차,온라인 기초 학습법 특강 1차,2023-2 창의학습노트 공모전,방방곳곳 숨은 기업찾기,온택트 스마트워크 패키지 교육,학생 마음건강지원을 위한 맞춤형 프로그램-자기효능감 레벨업 프로젝트
참가유형,개인,개인,개인,개인,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,주제별 상이,개인,개인,주제별 상이,개인,개인,개인,개인,팀,주제별 상이,개인,개인,개인,개인,개인,개인,개인,주제별 상이
조회수,"2,295","2,683",62,65,502,502,502,502,503,503,503,503,504,504,504,504,505,505,505,505,42,30,109,216,"1,161",573,62,481,"2,001","3,768",449,368,411,153,152,231,110
모집대상,재학생,재학생/교수/대학원생/외부인/교직원,전체 학생/대학원생,재학생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,재학생/대학원생,전체 학생/대학원생,전체 학생/교수/대학원생/외부인/교직원,재학생,전체 학생,재학생/대학원생,재학생/대학원생,대학원생,전체 학생,재학생/대학원생,전체 학생,재학생,재학생,재학생,재학생,재학생,재학생,재학생
학년/성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별,전체 학년/전체 성별
학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,"메카트로닉스대학 스마트제조융합협동과정 외 1개 학과

메카트로닉스대학 스마트제조융합협동과정",전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과,전체 학과
마일리지,m5 점,m0 점,m20 점,m6 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m3 점,m5 점,m3 점,m3 점,m2 점,m20 점,m12 점,m0 점,m5 점,m10 점,m0 점,m1 점,m1 점,m1 점,m5 점,m20 점,m12 점,m3 점
담당부서,대학언론사 대학언론사,교육혁신본부 교육혁신원,기획처 울산·경남지역혁신플랫폼 스마트제조엔지니어링사업단,학생상담센터,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,국제교류교육원,기획처 울산·경남지역혁신플랫폼 스마트제조엔지니어링사업단,인권센터,학생상담센터,교육혁신본부 교육혁신원,산학협력선도대학(LINC 3.0)육성사업단 산학협력선도대학(LINC 3.0)육성사업단,산학협력선도대학(LINC 3.0)육성사업단 산학협력선도대학(LINC 3.0)육성사업단,국제교류교육원,교육혁신본부 교육혁신원,산학협력선도대학(LINC 3.0)육성사업단,교육혁신본부 교육혁신원,교육혁신본부 교육혁신원,교육혁신본부 교육혁신원,교육혁신본부 교육혁신원,교육혁신본부 교육혁신원,산학협력선도대학(LINC 3.0)육성사업단 산학협력선도대학(LINC 3.0)육성사업단,산학협력선도대학(LINC 3.0)육성사업단,학생상담센터
카테고리,비교과인증>대회형								  창원대문학상 공모,비인증								  조사 및 홍보활동,비인증								  탐방형 프로그램,비교과인증>상담형								  집단상담,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  영어정기시험대비특강,비교과인증>교육형								  취업역량강화프로그램,비교과인증>교육형								  인권문화프로그램,비교과인증>교육형								  마음건강증진교육프로그램,비교과인증>상담형								  학습 컨설팅,비교과인증>교육형								  LINC3.0취업역량강화프로그램,비교과인증>교육형								  LINC3.0취업역량강화프로그램,비인증								  교육형 프로그램,비교과인증>대회형								  학습포트폴리오공모전,비교과인증>교육형								  LINC3.0취업역량강화프로그램,비인증								  조사 및 홍보활동,비교과인증>교육형								  학습법 워크숍,비교과인증>교육형								  학습법 워크숍,비교과인증>교육형								  학습법 워크숍,비교과인증>대회형								  창의코넬학습노트공모전,비교과인증>교육형								  LINC3.0취업역량강화프로그램,비교과인증>교육형								  LINC3.0취업역량강화프로그램,비교과인증>교육형								  마음건강증진교육프로그램
이메일주소,sms@changwon.ac.kr,wlduds82@changwon.ac.kr,eunjin3@changwon.ac.kr,shnn9265@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,mkchoi@changwon.ac.kr,eunjin3@changwon.ac.kr,humanrights@changwon.ac.kr,sknurse80@changwon.ac.kr,rsta1457@changwon.ac.kr,leemk9098@changwon.ac.kr,leemk9098@chagnwon.ac.kr,mkchoi@changwon.ac.kr,rsta1457@changwon.ac.kr,leemk9098@changwon.ac.kr,mee615@changwon.ac.kr,u0401@chagnwon.ac.kr,u0401@chagnwon.ac.kr,u0401@chagnwon.ac.kr,u0401@cwnu.ac.kr,leemk9098@changwon.ac.kr,leemk9098@changwon.ac.kr,sknurse80@changwon.ac.kr
