프로그램명,본문
제28회 창원대문학상 공모,"□ 모집 부문 : 시, 소설, 수필 □ 응모 방법  - 시 : 3편 이상   - 소설 : 200자 원고지 100매 내외(A4지 10장 내외)   - 수필 : 200자 원고지 15매 내외(A4지 1장 내외) □ 응모 자격 : 우리 대학 학부 재학생(휴학생 및 대학원생 제외) □ 신청 방법 : 비교과통합관리시스템(이뤄드림) http://edream.changwon.ac.kr  * 이뤄드림 → 비교과프로그램 → 창원대문학상공모 → 첨부파일(작품) 업로드 □ 응모 기한 : 2023. 11. 30.(목) 23:00□ 응모작 심사 : 00문인협회 관계자□ 수상작 발표 : 2023년 12월 중 대학언론사 홈페이지 공고 및 개별 통보 □ 시상 : 2023년 12월 중, 총장상 수여 □ 시상내용  - 당선작: 부문별 각 1명, 장학금 50만원 + 비교과마일리지 20점 - 가작: 부문별 각 1명, 장학금 30만원 + 비교과마일리지 15점 - 장려: 부문별 각 2명, 장학금 20만원 + 비교과마일리지 10점 - 그 외 응모자 비교과마일리지 5점* 재원 : 국립대학육성사업비 □유의사항  - 시상금 지급일 현재 반드시 학부 재학생 신분 유지 - 직전학기 6학점 이상, 학업성적 2.5이상 이수 - 수업연한  초과자(9학기 이상)는  시상금 지급 불가"
2023  비교과가이드북 퀴즈 이벤트,"교육혁신본부 교육혁신원 교육성과관리센터에서는 국립대학육성사업의 일환으로  우리대학 비교과교육의 통합 정보를 수록한 2023-2학기 비교과가이드북을 아래와 같이 발간하고 발간 기념  이벤트를 진행하오니, 많은 관심과 참여 바랍니다.○ 이벤트 운영 계획(응모대상) 국립창원대학교에 재학/재직 중인 구성원 누구나(참여기간) 2023. 9. 1(금) ~ 11. 30(목)(참여방법) 1️⃣ (이뤄드림) > 비교과프로그램> 2023 비교과가이드북 퀴즈 이벤트에 참여 신청 2️⃣ (이캠퍼스) > 2023 비교과가이드북 퀴즈 이벤트 강의실> 비교과 QUIZ를 클릭해 퀴즈를 확인한다 3️⃣ 비교과가이드북 에서 정답을 찾아 제출한다 4️⃣ (이뤄드림) 비교과프로그램> 2023 비교과가이드북 퀴즈 이벤트 > 설문조사(만족도조사)에 참여하고, 당첨 되기를 기다린다. (상품내역)(1등) 2만원 상당의 기프티콘 5명(2등) 1만원 상당의 기프티콘 20명(3등) 5천원 상당의 기프티콘 140명(당첨결과) 2023. 12. 8(금) 예정- 기념품은 12월 중 개별 발송 예정- 당첨자는 이뤄드림 시스템 퀴즈 공지사항에서 확인- 퀴즈는 랜덤으로 출제되며, 점수가 높을 수록 추첨 확률 높아짐○ 비교과가이드북 배포 - 비치장소: 창원대 홈페이지-대학생활(바로보기), 학내 스터디 카페(CAN-D Zone 등)  ※ 비교과가이드북 책자 수령을 희망하시는 분은 아래 교육혁신원에서 방문 수령 가능 - 관련문의: 교육혁신원 교육성과관리센터(대학본부 401호, 213-2668)(목차)#창원대학교 비교과교육제도 01 창원대학교 교육목표 및 인재상02 창원대학교의 비교과교육03 비교과마일리지04 졸업자격인증제(비교과인증)05 창원대학교 핵심역량인증제# 이뤄드림시스템 이뤄드림시스템06 이뤄드림시스템(학내 SNS)07 이뤄진단(CWNU 핵심역량진단)08 학습검사/상담09 공간예약10 비교과프로그램 통계브리프11 역량탑인재 이야기12 드림캐치시스템-학생상담(진로/취업/심리) # 비교과인증 프로그램13 2023학년도 비교과인증 프로그램 안내14 부서별 주요 비교과프로그램 소개15 주요 비교과프로그램 운영 부서 위치16 대학생활안내17 비교과가이드북 발간 EVENT"
iUSG 참여기업 탐방단 운영,"󰊶< iUSG 참여기업 탐방단 운영> ◦ 활동기간: ‵23.1215.~‵24.2.15. (2개월) ◦ 선발인원: 10명 내외(개인 또는 팀) 단위 ◦ 참여대상: 울산경남지역혁신플랫폼 참가대학 재학생(대학원생) 및 졸업생 ◦ 활동내용   - 스마트제조엔지니어링사업단 참여기업 대상 기업 방문하여 현장 취재 및 인터뷰 진행하고 사진 촬영, 영상 촬영을 통해 기업 탐방기 작성 (1개월에 1개소 이상, 총 2개 이상 기업 방문)   - 제작한 콘텐츠(탐방기)는 iUSG 홈페이지를 통해 탐방 기사 업로드   - 발대식, 결과발표(수료식) 등 알림단 공식행사 참석 ◦ 참여 혜택   - 활동에 대한 활동비 지급(시간당 10,000원 + 탐방기 작성비 150,000원) 월 최대 400,000원 지급   - 활동비에는 식비, 교통비 모두 포함됨(별도 지급X)   - 사업단 명의의 활동인증서 발급(참여활동보고서 전체 제출한 자) ◦ 학생모집 및 선발 절차   - 학생모집: ‵23.11.20(월) ~ 12.1.(금), 이메일 접수   - 서류심사: ‵23.12.4(월)~6.(수)   - 면접심사: ‵23.12.7(금) ◦ 지원자격   - 직전학기 성적 평균 평점이 2.5점 이상인 재학생   - 홍보행사, 정기회의 등의 대면 행사에 적극적으로 참석 가능한 자   - 공지된 활동기간 내에 국복무, 교환학생, 휴학을 예정하고 있지 않은 자   - 동아리, 아르바이트 증 활동으로 인해 활동시간 제약을 많이 받는 학생 ◦제출서류   - 신청서 1부   - 개인정보 수집 이용 동의서 1부   - 재학증명서 및 성적증명서 각1부   - (해당자 한함) USG공유대학에 참여 중이 학생은 성명이 표시된 USG공유대학 학습관리시스템 화면 캡쳐본 1부"
2023년 국립대학육성사업 「스트레스 해소 레시피」,"□ 프로그램명: 스트레스 해소 레시피□ 운영 기간 : 2023.12.04(월), 12.05(화) 18:00 ~ 21:00                      총 2회기, 각 3시간   ※ 운영 기간은 연차별 사업 및 목적에 따라서 변경될 수 있음□ 운영 장소: 동백관 학생상담센터(209호)□ 모집 대상 및 모집 인원 : 재학생 9명★ 프로그램 모집 인원 초과 시,    2023년 고위험군 전수조사 참여 학생, 학생상담센터 이용 경험(심리검사, 심리상담 등)이 있는 학생 우선 모집□ 모집 기간: 2023.11.28(화) ~ 12.04(월) 16:00까지□ 선발 알림 : 2023.12.04.(월) 개별 연락□ 신청 방법: 이뤄드림 및 전화(055-213-2646)로 신청□ 운영 내용: 금속치료와 미술치료를 통한 스트레스 완화 및 회복탄력성 향상 □ 참여 혜택: 프로그램 참여율 80%(5h) 이상 + 프로그램 소감문 제출 시, 비교과 마일리지 6점 지급□ 문의 전화: 학생상담센터(055-213-2646)□ 프로그램 구성(안)차수일정주제내용강사비고1회기12/04(월)18:00~21:003h스트레스란 무엇인가?▪TA 검사 실시 및 해석 - TA 검사를 활용한 나의 성격 및 스트레스 탐색▪놀이치료(젠가) - 젠가를 활용한 놀이치료를 통해 스트레스 해소 및 자기만의 긍정적 내적 자원 발견의 시간 가지기 - 팀별 대항 : 스티커 제거하기▪미술치료(감사 편지 쓰기) - 드라이플라워를 활용하여 감사 편지 쓰기 - 편지를 쓰며 긍정적인 감정 발견하기김동춘집단상담및 그룹활동2회기12/05(화)18:00~21:003h스트레스 해소와 조절▪미술치료(인생 곡선 그리기) - 인생 곡선을 통해 스트레스 요인 탐색 및 해소▪관계의 기술(비폭력 대화) - 타인의 마음 이해, 자기 욕구 조절과 자기표현 향상▪금속 심리치료(칠보공예) - 칠보공예를 통해 성취 경험 취득, 만들기에 집중하며 스트레스로 혼란스러운 내면 다스리기※ 프로그램 일정은 진행 상황 등에 따라 변경될 수 있음"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
2023년 12월 정기시험대비 토익/오픽/토스 특강,"2023년 12월 정기시험 대비 '토익/오픽/토익스피킹' 1일 특강 실시 안내1. 대상: 본교 재학생(학부, 대학원)2. 특강 실시 안내연번특강명일시강사명정원강의실신청기간개설 확정1토익(대면)2023. 12. 08(금) 10:00-12:50박은주20984182023. 11. 29.(수) 15:00-12. 6.(수) 18:002023. 12. 7.(목)10:00 예정2토익(ZOOM)2023. 12. 09.(토) 13:00-15:50박은주40ZOOM3토익스피킹(ZOOM)   ※ 영어로 진행2023. 12. 09.(토) 10:00-12:50Cecile Hwang20ZOOM4오픽(ZOOM)2023. 12. 09.(토) 10:00-12:50이윤영20ZOOM   (유의 사항 안내)    1) (특강 개설 기준) 12명 이상 신청 시 개설 가능, 폐강된 특강 신청자는 개설된 특강으로 변경(잔여석 내에서) 가능합니다.   2) (교육 장소) 대면 특강은 98호관 4층에서 진행, ZOOM특강 접속 정보는 특강 전날 문자로 발송됩니다.   3) (ZOOM 특강) 특강 시작 시각 엄수하여 ZOOM특강 접속 및 출석 확인을 위해 '본인 성명(학번)으로 입장 부탁드립니다.         - eg. 나어학(20210001)     4) (특강 내용) 시험대비 1일 특강으로, 시험의 중요 포인트 및 빈출 문형을 최종 점점           - 일반 수업의 진행(연습 등)과는 차이가 있습니다.      5) (수료생 혜택) 특강 3시간 전체 참여자에 한하여 '비교과 마일리지 3점'을 부여합니다 .    6) (신청 제한) 해당 특강의 결석/불참 횟수가 누적 3회 이상 시, 향후 해당 특강의 신청이 제한될 수 있으니 유의 바랍니다.  3. 문의처 TEL. 055-213-2442(국제교류교육원 어학행정실; 글로벌평생학습관/98호관 409호)"
